Id, char_name
121,'Sanjay Nahasapeemapetilon'
122,'Hans Moleman'
123,'Groundskeeper Willie'
124,'Lindsey Naegle'
125,'Poochie'
126,'Manjula Nahasapeemapetilon'
127,'Patches and Poor Violet'
128,'Arnie Pye'
129,'Herbert Powell'
130,'Mona Simpson'
131,'Agnes Skinner'
132,'Snake Jailbird'
133,'Cletus Spuckler'
134,'Brandine Spuckler'
135,'Squeaky-Voiced Teen'
136,'Veterinarian'
137,'Drederick Tatum'
138,'Ralph Wiggum'
139,'Allison Taylor'
140,'Cecil Terwilliger'
141,'Uter Zorker'
142,'Kirk Van Houten'
143,'Dr. Velimirovic'
144,'Sarah Wiggum'
145,'Wiseguy'
146,'Rainier Wolfcastle'
147,'Artie Ziff'
148,'Yes Guy'
149,'Ms. Mellon'
150,'Cowboy Bob'
151,'Jacques'
152,'Gulliver Dark'
153,'C����sar'
154,'Adil Hoxha'
155,'Lucille Botzcowski'
156,'Karl'
157,'Serak the Preparer'
158,'Toshiro the Apprentice Chef'
159,'Master Sushi Chef'
160,'Emily Winthrop'
161,"'Beatrice \""Bea\"" Simmons'"
162,'Professor Lombardo'
163,'Mr. Bergstrom'
164,'Leon Kompowsky'
165,'Bob Arnold'
166,'Aristotle Amadopolis'
167,'Crippled Merchant'
168,'Collette'
169,'Horst'
170,'Samantha Stanky'
171,'Mr. Black'
172,'Llewellyn Sinclair'
173,'Ms. Sinclair'
174,'Amber Dempsey'
175,'Jack Larson'
176,'Laura Powers'
177,'Mr. McGreg'
178,'Lyle Lanley'
179,'Sebastian Cobb'
180,'Tom'
181,'Pepi'
182,'Sideshow Raheem'
183,'Rex'
184,'Johnny'
185,'Dr. Wolfe'
186,'Nigel'
187,'The Gremlin'
188,'Dean Peterson'
189,'Brad Goodman'
190,'Mindy Simmons'
191,'Molloy the Cat Burglar'
192,'Stacy Lovell'
193,'Race Banyon'
194,'Freddie Quimby'
195,'Allison Taylor'
196,'Bort'
197,'Jessica Lovejoy'
198,'Ashley Grant'
199,'Hugo Simpson'
200,'Leavelle'
201,'Dr. Zweig'
202,'Guy Incognito'
203,'Number One'
204,'Don Vittorio DiMaggio'
205,'Evan Conover'
206,'Ballet Teacher'
207,'The Fortuneteller'
208,'Hugh Parkfield'
209,'Shelby'
210,"'Colonel Leslie \""Hap\"" Hapablap'"
211,'Dr. Sally Wexler'
212,'Don Brodka'
213,'Hollis Hurlbut'
214,'Chester J. Lampwick'
215,'MacArthur Parker'
216,'Erin'
217,'Hank Scorpio'
218,'Lucius Sweet'
219,'Larry Burns'
220,'Belle'
221,'Starla'
222,'Dr. Foster'
223,'The Space Coyote'
224,'Frank Ormand'
225,'Sherry Bobbins'
226,'Roy'
227,'John'
228,'Rex Banner'
229,'Laddie'
230,"'Frank \""Grimey\"" Grimes'"
231,'Big Daddy'
232,'The Commandant'
233,'The Real Principal Seymour Skinner'
234,'Fox Censor'
235,'Apu\'s Mother'
236,'Alex Trebek'
237,'Cooder'
238,'The Leader'
239,'Greg'
240,'Renee'
241,'Captain Tenille'
242,'Drill Sergeant'
243,'Agent Johnson'
244,'Ray Patterson'
245,'Brad'
246,'Seth'
247,'Wally Kogen'
248,'Trent Steele'
249,'Red Barclay'
250,'Astrid Weller'
251,'Jerry Rude'
252,'Wink'
253,'Edward Christian'
254,'Lifeways Editor'
255,'Emil'
256,'Larry Kidkill'
257,'Meathook'
258,'Jim Hope'
259,'Brother Faith'
260,'Michael Finn'
261,'Titania'
262,'Dr. Velimorovic'
263,'The Casino Manager'
264,'Southern Sheriff'
265,'Little Vickie Valentine'
266,'Becky'
267,'Sophie'
268,'Jesse Grass'
269,'Number 6'
270,'Devon Bradley'
271,'Jack Crowley'
272,'L.T. Smash'
273,'Howard K. Duff VIII'
274,'Francine Rhenquist'
275,'Dr. Joan Bushwell'
276,'Kitenge'
277,'Thelonious'
278,'Singing Hobo'
279,'The Gypsy'
280,'Ultrahouse 3000'
281,'Gabriel'
282,'Garth Motherloving'
283,'Greta Wolfcastle'
284,'Buck McCoy'
285,'Zelda'
286,'Ronaldo'
287,'Annette'
288,'Tina'
289,'Mrs. Bellamy'
290,'Audrey McConnell'
291,'Mitch Hartwell'
292,'Frank Grimes
293,'Dexter Colt'
294,'Sara Sloane'
295,'Luke Stetson'
296,'Cookie'
297,'David Byrne'
298,'Don Francis Castellaneta'
299,'Professor John Frink Sr.'
300,'Edwina'
301,'Grant Conner'
302,'Henry'
303,'Stuart'
304,'Chloe Talbot'
305,'Goose Gladwell'
306,'Deion Overstreet'
307,'Bud Armstrong'
308,'Alcatrazz'
309,'Veronica'
310,'Howell Huser'
311,'Madam Wu'
312,'Officer Krackney'
313,'Jenda'
314,'Ray Magini'
315,'Tab Spangler'
316,'Clarissa Wellington'
317,'Cameron'
318,'Coach Clay'
319,'Vicki'
320,'Father Sean'
321,'Caleb Thorn'
322,'Gravedigger Billy'
323,'David'
324,'Tammy'
325,'Mason Fairbanks'
326,'Coach Krupt'
327,'Charles'
328,'Verity'
329,'Dr. Egoyan/Manfred Manslaughter'
330,'Melanie Upfoot'
331,'Wallace Brady'
332,'Clarice Drummond'
333,'Tabitha Vixx'
334,'Buck Mitchell'
335,'Dante Calabresis'
336,'Michael D\'Amico'
337,'Skinny Turner'
338,'The Army Colonel'
339,'Billy'
340,'Darcy'
341,'Dr. Stacey Swanson'
342,'Withney
343,'Tabloid Editor'
344,'Enrico Irritazio'
345,'Joe LaBoot'
346,'Colby Krause'
347,'Julia'
348,'Louie'
349,'Dwight'
350,'Uncle Norbert Van Houten'
351,'Milo'
352,'Dr. Robert Terwilliger
353,'Dame Judith Underdunk'
354,'Adriatica Viljohnson'
355,'Professor Stefan August'
356,'Donny'
357,'Betsy Bidwell'
358,"'\""Sneakers\"" Host'"
359,'Chazz Busby'
360,'Royce Lumpkin'
361,'Lucky Jim'
362,'Wolf the Bounty Hunter'
363,'Patrick Farally'
364,'Simon Woosterfield'
365,'Devon and Quenly Woosterfield'
366,'Bashir Bin Laden'
367,'Juliet Hobbs'
368,'The Parson'
369,'Tom O\'Flanagan'
370,'Maya'
371,'Jenny'
372,'Inga'
373,'Alaska Nebraska'
374,'Lyle McCarthy'
375,'Zachary Vaughn'
376,'Chett Engelbrit'
377,'Andy Hamilton'
378,'Cassandra'
379,'Charlie'
380,'Princess Penelope'
381,'Gator McCall'
382,'Milhoose'
383,'Canadian Nelson'
384,'Virgil'
385,'Mabel Simpson'
386,'Hiram Simpson'
387,'Eliza Simpson'
388,'Colonel Burns'
389,'Nikki'
390,'Jakib'
391,'Dorit'
392,'Walt Warren'
393,'Walter Hotenhoffer'
394,'Cheech and Chong'
395,'Zia Simpson'
396,'Bart\'s Sons'
397,'Tony Bennett'
398,'Ringo Starr'
399,'Neil Patrick Harris'
400,'Magic Johnson'
401,'Chick Hearn'
402,'Aerosmith'
403,'Sting'
404,'Joe Frazier'
405,'Tom Jones'
406,'Adam West'
407,'Linda Ronstadt'
408,'Leonard Nimoy'
409,'Dr. Joyce Brothers'
410,'Brooke Shields'
411,'Barry White'
412,'David Crosby'
413,'George Harrison'
414,'David Crosby'
415,'The Ramones'
416,'James Brown'
417,'Ernest Borgnine'
418,'Gerry Cooney'
419,'Robert Goulet'
420,'Conan O\'Brien'
421,'James Woods'
422,'Buzz Aldrin'
423,'James Taylor'
424,'Larry King'
425,'Dr. Demento'
426,'Dennis Franz'
427,'Dick Cavett'
428,'Johnny Unitas'
429,'Steve Allen'
430,'Mickey Rooney'
431,'Linda McCartney'
432,'Buzz Aldrin'
433,'Tom Kite'
434,'Bob Newhart'
435,'Suzanne Somers'
436,'Michael Buffer'
437,'Leonard Nimoy'
438,'Bret Hart'
439,'Tim Conway'
440,'Fyvush Finkel'
441,'Joe Namath'
442,'Roy Firestone'
443,'Stephen Jay Gould'
444,'Alex Trebek'
445,'George Harrison'
446,'Steven Wright'
447,'Bob Denver'
448,'U2'
449,'Paul McGuinness'
450,'Mark Hamill'
451,'The Moody Blues'
452,'Cyndi Lauper'
453,'Troy Aikman'
454,'Rosey Grier'
455,'John Madden'
456,'Dan Marino'
457,'Rupert Murdoch'
458,'Dolly Parton'
459,'Pat Summerall'
460,'Ed Begley
461,'Elton John'
462,'Jasper Johns'
463,'Jack LaLanne'
464,'Stephen Hawking'
465,'Mel Gibson'
466,'Mark McGwire'
467,'Tom Arnold'
468,'Dick Clark'
469,'Lucy Lawless'
470,'The B-52\'s'
471,'Penn and Teller'
472,'Ron Howard'
473,'Pat O\'Brien'
474,'Nancy O\'Dell'
475,'Butch Patrick'
476,'Jay North'
477,'NRBQ'
478,'Gary Coleman'
479,'Britney Spears'
480,'Bachman̢����Turner Overdrive'
481,'Trevor Denman'
482,'Betty White'
483,'Joe C.'
484,'Willie Nelson'
485,'Roger Daltrey'
486,'John Entwistle'
487,'Gary Coleman'
488,'Stephen King'
489,'Amy Tan'
490,'John Updike'
491,'Leeza Gibbons'
492,'Robby Krieger'
493,'Bruce Vilanch'
494,'Tom Savini'
495,'Andre Agassi'
496,'Pete Sampras'
497,'Serena Williams'
498,'Gary Coleman'
499,'\'N Sync'
500,'R.E.M.'
501,'Paul Newman'
502,'Judith Owen'
503,'Richard Gere'
504,'Wolfgang Puck'
505,'Phish'
506,'Alec Baldwin'
507,'Kim Basinger'
508,'*NSYNC'
509,'U2'
510,'Stephen Hawking'
511,'Ron Howard'
512,'Elton John'
513,'Lucy Lawless'
514,'Larry Mullen
515,'Joe Namath'
516,'Stan Lee'
517,'James Lipton'
518,'Robert Pinsky'
519,'Carmen Electra'
520,'Brian Setzer'
521,'Larry Holmes'
522,'Little Richard'
523,'Elliott Gould'
524,'Ken Burns'
525,'Lisa Leslie'
526,'Tony Hawk'
527,'Blink-182'
528,'George Plimpton'
529,'Helen Fielding'
530,'James L. Brooks'
531,"'\""Weird Al\"" Yankovic'"
532,'David Byrne'
533,'Steve Buscemi'
534,'Jackson Browne'
535,'Dudley Herschbach'
536,'Jennifer Garner'
537,'Oscar de la Hoya'
538,'Michael Moore'
539,'Tony Blair'
540,'Evan Marriott'
541,'Ian McKellen'
542,'J. K. Rowling'
543,'Mr. T'
544,'Tom Clancy'
545,'Thomas Pynchon'
546,'Mary-Kate and Ashley Olsen'
547,'Isabel Sanford'
548,'Matt Groening'
549,'Nichelle Nichols'
550,'Thomas Pynchon'
551,'James Caan'
552,'Warren Sapp'
553,'50 Cent'
554,'Gary Busey'
555,'Robert Wagner'
556,'Frank Gehry'
557,'Stephen Hawking'
558,'Jason Bateman'
559,'Terry Bradshaw'
560,'Dennis Rodman'
561,'William H. Macy'
562,'Joe Frazier'
563,'Susan Sarandon'
564,'Randy Johnson'
565,'Rob Reiner'
566,'Richard Dean Anderson'
567,'Gene Tenace'
568,'Melanie Griffith'
569,'Metallica'
570,'Jack White'
571,'Dr. Phil'
572,'Tom Wolfe'
573,'Gore Vidal'
574,'Michael Chabon'
575,'Jonathan Franzen'
576,'Elvis Stojko'
577,'Andy Dick'
578,'James Patterson'
579,'Stephen Sondheim'
580,'Betty White'
581,'Ronaldo'
582,'Stephen Hawking'
583,'Rudy Giuliani'
584,'Ludacris'
585,'Pl����cido Domingo'
586,'Alan Moore'
587,'Art Spiegelman'
588,'Dan Clowes'
589,'Keith Olbermann'
590,'Kurt Loder'
591,"'\""Weird Al\"" Yankovic'"
592,'Terry Gross'
593,'Joe Montana'
594,'Fall Out Boy'
595,'Matt Groening'
596,'Chuck Liddell'
597,'Peyton Manning'
598,'Eli Manning'
599,'Cooper Manning'
600,'Smothers Brothers'
601,'Huell Howser'
602,'Mitch Albom'
603,'Eartha Kitt'
604,'Gary Larson'
605,'Chris Martin'
606,'Bob Costas'
607,'Don Pardo'
608,'Simon Cowell'
609,'Randy Jackson'
610,'Ellen DeGeneres'
611,'Kara DioGuardi'
612,'Rupert Murdoch'
613,'Ryan Seacrest'
614,'Danica Patrick'
615,'Martha Stewart'
616,'Katy Perry'
617,'Kareem Abdul-Jabbar'
618,'Joey Kramer'
619,'Ken Burns'
620,'Anthony Bourdain'
621,'Gordon Ramsay'
622,'Mario Batali'
623,'Neil Gaiman'
624,'Kevin Dillon'
625,'Janeane Garofalo'
626,'Ted Nugent'
627,'David Letterman'
628,'Julian Assange'
629,'Robbie Conal'
630,'Treat Williams'
631,'Lady Gaga'
632,'Al Roker'
633,'Jeff Gordon'
634,'Jennifer Tilly'
635,'Marvin Hamlisch'
636,'Alex Trebek'
637,'The Decemberists'
638,'Richard Dawkins'
639,'Janet Reno'
640,'Justin Bieber'
641,'Rachel Maddow'
642,'Joe Namath'
643,'Anderson Cooper'
644,'Judd Apatow'
645,'Rob Halford'
646,'Leslie Mann'
647,'Seth Rogen'
648,'Paul Rudd'
649,'Harlan Ellison'
650,'Stan Lee'
651,'Will Lyman'
